nome;jogo12;jogo11;jogo10;jogo09;jogo08;jogo07;jogo06;jogo05;jogo04;jogo03;jogo02;jogo01
tatah_winchester;;0;0;0;0;0;0;Choconhaque;Chocolate quente;0;Arroz doce;Bolo de fubé
taynara,freitas_;;Caldo de feijéo;Pastel (de carne ou de queijo);Espetinho;Algodéo doce;Doce de leite;Bolo de tapioca;Choconhaque;Chocolate quente;Cocada morena;Curau de milho;Pamonha doce
thabatareginaa;Milho cozido;Caldo vaca atolada;0;Arroz carreteiro;Pipoca caramelizada;Amendoim doce;Bolo de pé de moleque;Choconhaque;Caldo de cana;0;0;0
thamyreseshebellydance;Pamonha de sal;0;Cachorro quente;0;Espetinho de chocolate;Doce de leite;Bolo de milho;0;0;0;0;0
tharikalves;Milho cozido;Caldo verde;Cachorro quente;Espetinho;0;Amendoim doce;Quebra-queixo;Quentéo de vinho;Chocolate quente;Cocada branca;Arroz doce;Bolo de coco
thatscaiovitor;Pamonha de sal;Caldo verde;Pastel (de carne ou de queijo);Arroz carreteiro;Espetinho de chocolate;Pagoca;Quebra-queixo;Choconhaque;Caldo de cana;0;0;0
thirdworlddiva;Pamonha de sal;Caldo canjiquinha;Buraco quente;Espetinho;Pipoca caramelizada;Pagoca;Bolo de tapioca;0;0;0;0;0
tim21 Ila;;;Cachorro quente;Arroz carreteiro;Pipoca caramelizada;Amendoim doce;Bolo de milho;;0;0;;0
tulioapo;Milho cozido;Caldo verde;Cachorro quente;Espetinho;Espetinho de chocolate;0;Quebra-queixo;0;Chocolate quente;Cocada morena;0;Bolo de mandioca
ulrichkofﬁ_ouffoue;Pamonha de sal;Caldo verde;Pastel (de carne ou de queijo);Arroz carreteiro;Espetinho de chocolate;0;Bolo de tapioca;Quentéo de vinho;Crentéo;Pé de moleque;Arroz doce;Pamonha doce
valeskab;Pamonha de sal;0;Pastel (de carne ou de queijo);Arroz carreteiro;0;Rapadura;0;Quentéo de vinho;Chocolate quente;Pé de moleque;Canjica de coco;Bolo de fubé
vitoriahadassaa;Milho cozido;0;0;Espetinho;Espetinho de chocolate;Doce de leite;0;0;Chocolate quente;Cocada branca;Canjica de coco;Pamonha doce
vitusimoes;Pamonha de sal;Caldo verde;Cachorro quente;Espetinho;Magé do amor;Pagoca;Bolo de tapioca;0;Caldo de cana;Pé de moleque;Canjica de amendoim;Pamonha doce
vrafhaell;Pamonha de sal;Caldo de feijéo;Salsichéo;Espetinho;0;0;Bolo de milho;0;0;0;0;0
wemykarla;;Caldo de feijéo;0;0;Magé do amor;Doce de leite;Quebra-queixo;;0;0;;0
wtftiago;Milho na brasa;Caldo verde;Cachorro quente;Vatapé de frango;Pipoca caramelizada;0;Bolo de milho;Quentéo de vinho;Caldo de cana;Pé de moga;Curau de milho;Bolo de fubé
xiicara;Milho cozido;0;Cachorro quente;Arroz carreteiro;Espetinho de chocolate;0;0;0;Chocolate quente;Pé de moga;0;0
yannemesquita;;0;Buraco quente;Galinhada;0;0;0;;Caldo de cana;Pé de moleque;Curau de milho;Pamonha doce
yurirocha_15;Milho cozido;Caldo vaca atolada;Pastel (de carne ou de queijo);Espetinho;Espetinho de chocolate;Pagoca;Bolo de tapioca;Choconhaque;Chocolate quente;Cocada morena;Arroz doce;Bolo de coco
|emosju|iana_;Milho cozido;Caldo de feijéo;Cachorro quente;0;Espetinho de chocolate;Amendoim doce;Bolo de milho;Quentéo de vinho;Chocolate quente;0;Canjica de coco;Bolo de fubé
|eticia.madeira1;;Caldo verde;Cachorro quente;Galinhada;Espetinho de chocolate;Amendoim doce;Bolo de pé de moleque;;0;0;;0
|iine_avi|a;Milho cozido;Caldo verde;Cachorro quente;Arroz carreteiro;0;0;0;Quentéo de vinho;Chocolate quente;Cocada branca;Curau de milho;Pamonha doce
|ivia.gcf;Pipoca de sal;Caldo de feijéo;Pastel (de carne ou de queijo);Galinhada;Pipoca caramelizada;Pagoca;Bolo de tapioca;Choconhaque;Chocolate quente;Pé de moleque;Arroz doce;Pamonha doce
|ucas_mezza;;Caldo canjiquinha;Cachorro quente;Galinhada;Espetinho de chocolate;Pagoca;Bolo de tapioca;;Suco de milho;0;;Pamonha doce
|ucasmartinsgsZ3;Pamonha de sal;Caldo verde;Pastel (de carne ou de queijo);Espetinho;0;Doce de leite;0;0;0;0;0;0
|uci_aguiarc;Pipoca de sal;0;Pastel (de carne ou de queijo);0;Magé do amor;Pagoca;Bolo de milho;Choconhaque;0;Cocada branca;0;Bolo de coco
|uis,amara|h;Milho na brasa;Caldo de feijéo;Cachorro quente;Espetinho;0;0;0;0;Chocolate quente;Pé de moleque;Curau de milho;Bolo de mandioca
ﬁllipemanhaes;Pipoca de sal;Caldo de feijéo;Pastel (de carne ou de queijo);0;Algodéo doce;0;Bolo de milho;Choconhaque;0;Cocada branca;Canjica de coco;Bolo de fubé
ﬂ);Pamonha de sal;Caldo verde;Buraco quente;Espetinho;Espetinho de chocolate;Doce de leite;Quebra-queixo;0;0;0;0;0
